Language Code,Translation
ko,"시작해봅시다, 보스 💼 오늘은 대담한 한 걸음을 내딛기 좋은 날이에요. 첫 번째 행동은 뭐죠?"
lv,"Sāksim, priekšniek 💼 Šodien ir lieliska diena drosmīgiem soļiem. Kāds ir pirmais solis?"
lt,"Pradėkime, bosas 💼 Šiandien puiki diena drąsiems žingsniams. Koks mūsų pirmas žingsnis?"
mk,"Ајде да почнеме, шефе 💼 Денес е одличен ден за храбри потези. Кој е нашиот прв чекор?"
ms,"Jom mula, bos 💼 Hari ini hari terbaik untuk buat langkah berani. Apa langkah pertama kita?"
ml,തുടങ്ങാം ബോസ് 💼 ഇന്ന് ധൈര്യമായ നടപടികൾക്ക് നല്ലൊരു ദിവസം. ആദ്യ നീക്കം എന്താണ്?
mr,"चला सुरुवात करूया, बॉस 💼 आज धाडसी निर्णय घेण्यासाठी उत्तम दिवस आहे. आपली पहिली चाल काय आहे?"
mn,"За босс оо, эхэлье 💼 Өнөөдөр зоримог алхам хийхэд хамгийн тохиромжтой өдөр. Эхний алхам юу байх вэ?"
no,"La oss sette i gang, sjef 💼 I dag er en flott dag for modige steg. Hva er vårt første trekk?"
fa,بزن بریم رئیس 💼 امروز یه روز عالیه برای برداشتن قدم‌های جسورانه. اولین قدممون چیه؟
pl,"Zaczynajmy, szefie 💼 Dziś świetny dzień na odważne kroki. Jaki będzie nasz pierwszy ruch?"
pt,"Vamos nessa, chefe 💼 Hoje é um ótimo dia para passos ousados. Qual é o nosso primeiro passo?"
pa,"ਆਓ ਸ਼ੁਰੂ ਕਰੀਏ, ਬੌਸ 💼 ਅੱਜ ਬੇਖ਼ੌਫ਼ ਕਦਮ ਚੁੱਕਣ ਲਈ ਵਧੀਆ ਦਿਨ ਹੈ। ਸਾਡਾ ਪਹਿਲਾ ਕਦਮ ਕੀ ਹੈ?"
ro,"Hai să începem, șefule 💼 Azi e o zi perfectă pentru pași curajoși. Care e primul nostru pas?"
ru,"Давайте начнем, босс 💼 Сегодня отличный день для смелых шагов. С чего начнем?"
sr,"Krenimo, šefe 💼 Danas je sjajan dan za hrabre poteze. Koji je naš prvi korak?"
sk,"Poďme na to, šéfe 💼 Dnes je skvelý deň na odvážne kroky. Aký bude náš prvý krok?"
sl,"Začnimo, šef 💼 Danes je odličen dan za pogumne korake. Kaj je naša prva poteza?"
so,"Aan bilowno, madax 💼 Maanta waa maalin ku habboon talaabooyin geesinimo leh. Tallaabada koowaad waa maxay?"
es,"¡Vamos allá, jefe 💼 Hoy es un gran día para dar pasos valientes! ¿Cuál es nuestro primer movimiento?"
sw,"Twende kazi, bosi 💼 Leo ni siku nzuri ya kuchukua hatua za ujasiri. Hatua yetu ya kwanza ni ipi?"
sv,"Nu kör vi, chefen 💼 Idag är en perfekt dag för modiga steg. Vad är vårt första drag?"
tl,"Tara na, boss 💼 Ngayon ang perfect day para sumubok ng matatapang na hakbang. Ano'ng unang galaw natin?"
ta,"வாங்க ஆரம்பிக்கலாம், தலைவர் 💼 இன்று தைரியமான ஒரு அடி எடுப்பதற்கு சிறந்த நாள். முதல் நகர்வு என்ன?"
te,"బాస్, మొదలుపెడ్దాం 💼 నేడు ధైర్యవంతమైన అడుగులు వేయడానికి గొప్ప రోజు. మన మొదటి అడుగు ఏమిటి?"
th,มาเริ่มกันเลย บอส 💼 วันนี้เหมาะมากกับการก้าวอย่างกล้าหาญ ก้าวแรกของเราคืออะไร?
tr,Hadi başlayalım patron 💼 Bugün cesur adımlar atmak için harika bir gün. İlk adımımız ne olacak?
uk,"Почнімо, босе 💼 Сьогодні чудовий день для сміливих кроків. Який наш перший крок?"
ur,چلیں شروع کریں، باس 💼 آج بہادر قدم اٹھانے کا زبردست دن ہے۔ ہمارا پہلا قدم کیا ہوگا؟
vi,Bắt đầu thôi sếp 💼 Hôm nay là ngày tuyệt vời để bước đi táo bạo. Bước đầu tiên của ta là gì?
